Rank, name, year, rating, votes, genres, runtime, titleType, link, certificate, plot, image, director, writer, actors, awards, boxOffice, country, language, rottenTomatoes, metacritic

"1", "A Knight of the Seven Kingdoms", "2026", "8.6", "282926", "Adventure,Drama,Fantasy", "60", "tvSeries", "https://www.imdb.com/title/tt27497448/", "TV-MA", "A century before the events of "Game of Thrones," Ser Duncan the Tall, and his squire, Egg, wander through Westeros while the Targaryen dynasty rule the Iron Throne. Great destinies and enemies await the incomparable friends.", "https://m.media-amazon.com/images/M/MV5BYzg4M2U3YWMtMWY4MS00MzFkLTk2ZWQtOThiOGYxZDEyMGQ2XkEyXkFqcGc@._V1_QL75_UX380_CR0,4,380,562_.jpg", "", "George R.R. Martin, Ira Parker", "Peter Claffey, Dexter Sol Ansell, Daniel Ings", "Nominated for 1 Primetime Emmy. 13 nominations total", "", "United States", "English", "", ""
"2", "His & Hers", "2026", "7.1", "92947", "Crime,Drama,Mystery", "45", "tvMiniSeries", "https://www.imdb.com/title/tt33035373/", "TV-MA", "A journalist investigating a murder in her hometown clashes with a suspicious detective. There are two sides to every story, and someone is lying.", "https://m.media-amazon.com/images/M/MV5BNWQ4Y2QyNzEtZGQyYS00MGUzLTgxNGMtMjZmNzM0ZjRhYjdlXkEyXkFqcGc@._V1_QL75_UY562_CR35,0,380,562_.jpg", "", "William Oldroyd", "Tessa Thompson, Jon Bernthal, Pablo Schreiber", "", "", "United States", "English", "", ""
"3", "Widow's Bay", "2026", "8.1", "73707", "Comedy,Drama,Horror", "40", "tvSeries", "https://www.imdb.com/title/tt33332385/", "TV-MA", "A skeptical mayor leads the superstitious residents of a cursed New England island.", "https://m.media-amazon.com/images/M/MV5BZDBiMWZlMDQtNzkzMi00YzQzLTkwNTUtNzYwOGY3YmUxNDJjXkEyXkFqcGc@._V1_QL75_UY562_CR35,0,380,562_.jpg", "", "Katie Dippold", "Matthew Rhys, Kate O'Flynn, Kevin Carroll", "Nominated for 1 Primetime Emmy. 15 nominations total", "", "United States", "English", "", ""
"4", "Spider-Noir", "2026", "7.7", "69795", "Action,Adventure,Crime", "45", "tvSeries", "https://www.imdb.com/title/tt30460310/", "TV-14", "Ben Reilly, a seasoned, down-on-his-luck private investigator in 1930s New York, is forced to grapple with his past life, following a deeply personal tragedy, as the city's one and only superhero.", "https://m.media-amazon.com/images/M/MV5BYjU3NjEwNTItMzc1Mi00Y2QyLTljNDItOTQ4YjU4NjZjN2EyXkEyXkFqcGc@._V1_QL75_UX380_CR0,4,380,562_.jpg", "", "Oren Uziel", "Nicolas Cage, Lamorne Morris, Li Jun Li", "", "", "United States", "English", "", ""
"5", "I Will Find You", "2026", "7.1", "62630", "Crime,Drama,Mystery", "45", "tvMiniSeries", "https://www.imdb.com/title/tt34771210/", "TV-MA", "A father imprisoned for his son's murder receives evidence suggesting his child may be alive, compelling him to escape and uncover the truth.", "https://m.media-amazon.com/images/M/MV5BYWFkOGU5ZTYtZTlhMi00NThiLWI3ZDEtMGQ2Y2UzNjlkZTUxXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg", "", "Robert Hull", "Sam Worthington, Britt Lower, Chi McBride", "", "", "United States", "English", "", ""
"6", "Off Campus", "2026", "7.8", "53685", "Drama,Romance,Sport", "0", "tvSeries", "https://www.imdb.com/title/tt33546863/", "TV-MA", "A college-set romantic drama chronicling the unexpected love story between a music student and the university's star hockey player, exploring themes of love and the complexities of adulthood through deep friendships and enduring b...", "https://m.media-amazon.com/images/M/MV5BMDA0NzAzNDktYjBiOS00ZjFjLThhZTYtNzlkMDMzOTgxZTk5XkEyXkFqcGc@._V1_QL75_UX380_CR0,4,380,562_.jpg", "", "Louisa Levy", "Ella Bright, Belmont Cameli, Mika Abdalla", "2 nominations total", "", "United States", "English", "", ""
"7", "The Boroughs", "2026", "7.2", "40137", "Adventure,Comedy,Drama", "45", "tvSeries", "https://www.imdb.com/title/tt27557289/", "", "In a seemingly picturesque retirement community, a group of unlikely heroes must band together to stop an otherworldly threat from stealing the one thing they don't have - time.", "https://m.media-amazon.com/images/M/MV5BNzU2ZGRmNjEtYmVkOC00Y2UwLTk2YmEtODY3ZWFiYjY0YTY1XkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg", "", "Jeffrey Addiss, Will Matthews", "Bill Pullman, Jena Malone, Alfred Molina", "", "", "United States", "English", "", ""
"8", "Wonder Man", "2026", "7.4", "39574", "Action,Adventure,Comedy", "30", "tvSeries", "https://www.imdb.com/title/tt21066182/", "TV-14", "Small-time actor Simon Williams struggles to reckon with his personal life while hiding his super-powers as he tries to land his dream role. Meanwhile, a shady government agent leverages a new friendship in order to save his own job.", "https://m.media-amazon.com/images/M/MV5BMDk5YzQ3NjQtNzY3MC00NzM3LWE4NzYtZGRkNDQxYjdiZDkyXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg", "", "Destin Daniel Cretton", "Yahya Abdul-Mateen II, Ben Kingsley, X Mayo", "", "", "United States", "English", "", ""
"9", "Something Very Bad Is Going to Happen", "2026", "6.8", "37475", "Drama,Horror,Thriller", "45", "tvMiniSeries", "https://www.imdb.com/title/tt32937780/", "TV-MA", "A certain atmosphere of horror is felt the week before the celebration of an unfortunate wedding.", "https://m.media-amazon.com/images/M/MV5BOTgzOTE4ZDctNWM1OS00Nzk2LWEyNTUtMjc2MjVlNjMzMjUyXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg", "", "Haley Z. Boston", "Camila Morrone, Adam DiMarco, Gus Birney", "", "", "United States", "English", "", ""
